"from","to","n_obs","median_z","median_obs_over_exp","median_obs_minus_exp","frac_significant"
"FIB2","STB-progenitor",12,-0.206370004996615,0.969610388451648,-1.02,0
"STB","STB-progenitor",12,-0.210260089791892,0.906452063603584,-0.2925,0
"vCTB1","FIB2",4,-0.210350909948084,0.966662632172711,-1.2,0
"vCTB1","EVT3",4,-0.217736619687548,0.867142672018811,-0.2875,0
"Endothelial","EVT3",8,-0.218615950336731,0.902610273400576,-0.4375,0
"vCTB","vCTB1",4,-0.226342156625371,0.969023650965425,-2.625,0
"Erythroblasts","Endothelial",12,-0.228880694129933,0.88218577898479,-0.4525,0
"FIB1","EVT3",8,-0.228992632519337,0.805031446096159,-0.31,0
"FIB1","EVT-progenitor",12,-0.232015908668132,0.89729733458817,-0.525,0
"vCTBp","vCTBp",4,-0.239803198831831,0,-0.06,0
"EVT","EVT",8,-0.249037295038757,0.919563241604459,-0.132500000000001,0
"EVT3","EVT-progenitor",8,-0.253873158334931,0.458715596119855,-0.16,0
"Hofbauer cells","STB-progenitor",12,-0.257319562503509,0.933393108511528,-1.0275,0
"FIB1","vCTB1",4,-0.261297744834965,0.86013800413353,-0.2225,0
"Endothelial","Erythroblasts",12,-0.26796668918162,0.942595302948257,-0.3025,0
"vCTB2","vCTB2",4,-0.269540110891723,0,-0.075,0
"STB-progenitor","Endothelial",12,-0.273160777272253,0.875770327582397,-0.1375,0
"vCTBp","EVT3",4,-0.273664890939075,0,-0.07,0
"vCTB","vCTBp",4,-0.278804288785279,0.882790380521009,-0.98,0
"FIB1","FIB2",12,-0.278822206670523,0.97739960168443,-2.665,0
"Endothelial","STB-progenitor",12,-0.282855710443603,0.839866937782443,-0.1675,0
"FIB2","EVT3",8,-0.287623954252781,0.891482380970596,-0.9175,0
"FIB2","EVT",8,-0.293304244732174,0.964331306906164,-1.485,0
"STB-progenitor","FIB2",12,-0.308851870398193,0.9559376799017,-1.33,0
"STB","vCTBp",4,-0.318433312276935,0.773205456794066,-0.45,0
"Hofbauer cells","EVT",8,-0.318564664585799,0.942175539961167,-1.3325,0
"EVT3","vCTBp",4,-0.323584165442351,0,-0.1025,0
"Endothelial","Hofbauer cells",12,-0.341740019374852,0.961246129132699,-2.2275,0
"EVT-progenitor","vCTBp",4,-0.347190581927118,0,-0.125,0
"Erythroblasts","vCTB2",4,-0.362914690255459,0,-0.1375,0
"Erythroblasts","EVT-progenitor",12,-0.364032116287179,0.811406899339062,-0.725,0
"vCTB1","Hofbauer cells",4,-0.366907041249226,0.923014144288635,-1.0775,0
"vCTBp","EVT-progenitor",4,-0.368097093948135,0,-0.1375,0
"EVT3","vCTB2",4,-0.377824704288726,0,-0.14,0
"vCTB2","Erythroblasts",4,-0.381696709195458,0,-0.1425,0
"Erythroblasts","STB-progenitor",12,-0.398724413532367,0.805196623518717,-0.325,0
"EVT3","EVT3",8,-0.406107388781167,0,-0.17,0
"Endothelial","EVT-progenitor",12,-0.410962849316168,0.899025585752275,-1.07,0
"vCTBp","vCTB",4,-0.417014885410787,0.920933114288338,-1.13,0
"EVT-progenitor","EVT-progenitor",12,-0.425969569669461,0.9118120562127,-0.7225,0
"EVT","Hofbauer cells",8,-0.444156877434709,0.888969613484424,-0.9975,0
"vCTB1","Endothelial",4,-0.470534507962929,0.836070990458196,-1.2625,0
"EVT-progenitor","STB-progenitor",12,-0.472457734881455,0.739051735394524,-0.6075,0
"vCTB2","Hofbauer cells",4,-0.474994651101755,0.710982695211289,-0.6175,0
"Hofbauer cells","vCTB1",4,-0.475931204506652,0.880368227985229,-1.76,0
"vCTB2","EVT3",4,-0.476560558974551,0,-0.23,0
"STB-progenitor","EVT3",8,-0.478195825237482,0.763247911872485,-0.575,0
"EVT-progenitor","EVT3",8,-0.484525568731011,0,-0.26,0
"FIB2","Erythroblasts",12,-0.489652409133893,0.906611407549917,-3.2475,0
"EVT-progenitor","Hofbauer cells",12,-0.494946627327558,0.910422549805417,-2.765,0
"vCTB1","Erythroblasts",4,-0.496290420170596,0.657101202728204,-0.61,0
"STB-progenitor","EVT-progenitor",12,-0.505001032542545,0.825338817565296,-1.4825,0
"vCTB2","Endothelial",4,-0.505307429840627,0.660948806986204,-0.7075,0
"EVT","vCTB2",4,-0.506824907561541,0.646348882498172,-0.78,0
"vCTB1","vCTB2",4,-0.514740414204111,0,-0.2625,0
"vCTBp","Hofbauer cells",4,-0.534401541002213,0.335570469573443,-0.465,0
"Endothelial","EVT",8,-0.540372496533907,0.889406018437789,-1.5425,0
"Hofbauer cells","EVT-progenitor",12,-0.565328037336324,0.917852568774112,-4.67,0
"vCTB1","vCTB1",4,-0.574187303766722,0.536672629503874,-0.745,0
"EVT3","EVT",8,-0.578377993552776,0.639650904395264,-0.3325,0
"Erythroblasts","vCTBp",4,-0.579982622158314,0,-0.38,0
"vCTB","EVT",8,-0.596318216487226,0.912716821167082,-3.7,0
"Hofbauer cells","Erythroblasts",12,-0.614211393399001,0.88423859313975,-2.2225,0
"Hofbauer cells","EVT3",8,-0.615862377308182,0.82344769540059,-1.445,0
"vCTB","Erythroblasts",12,-0.625618871421239,0.92705709740478,-4.275,0
"vCTB2","vCTB1",4,-0.628258014058211,0,-0.37,0
"EVT3","Erythroblasts",8,-0.636867188711224,0.200400801522885,-0.4175,0
"FIB1","vCTBp",4,-0.643490811974134,0.581623573331593,-0.965,0
"vCTB2","FIB2",4,-0.663957543015583,0.681803748853478,-1.25,0
"EVT3","STB-progenitor",8,-0.666314142551551,0.349650349528094,-0.84,0
"vCTB1","EVT",4,-0.670311052055369,0.766933279250187,-2,0
"Erythroblasts","Erythroblasts",12,-0.676656475476467,0.592118731604747,-1.2725,0
"vCTBp","FIB1",4,-0.681722497306043,0.279329608782497,-0.9175,0
"EVT","EVT-progenitor",8,-0.687261863317386,0.438505498067223,-0.7775,0
"Hofbauer cells","FIB2",12,-0.690450331428677,0.957398030739947,-8.79750000000001,0
"EVT3","vCTB1",4,-0.693521496794482,0.350877192859341,-0.7525,0
"FIB2","EVT-progenitor",12,-0.716237131122235,0.901459514165689,-3.8775,0
"EVT-progenitor","vCTB2",4,-0.725856121124983,0,-0.5625,0
"FIB1","Erythroblasts",12,-0.737171710789543,0.703764983967306,-2.345,0
"EVT-progenitor","Erythroblasts",12,-0.74889208222113,0.674563580111852,-1.5525,0
"vCTBp","Erythroblasts",4,-0.758589912076736,0,-0.5675,0
"FIB1","vCTB2",4,-0.806322958428109,0,-0.7175,0
"STB","vCTB1",4,-0.819475987816412,0.884660281198799,-7.2175,0
"STB","FIB2",12,-0.840900747281743,0.95419618632034,-13.24,0
"EVT","vCTB1",4,-0.854045761371045,0.768242576338857,-2.66,0
"Endothelial","FIB2",12,-0.871999928153791,0.878653371855061,-6.3975,0
"vCTB","EVT3",8,-0.891101944951538,0.778617390115819,-5.35,0
"vCTBp","STB-progenitor",4,-0.917753393107732,0,-0.7675,0
"STB","EVT3",8,-0.942602483836051,0.790235300934318,-2.105,0
"EVT-progenitor","FIB2",12,-0.976772854547571,0.905730650791063,-3.66,0
"vCTB","Hofbauer cells",12,-1.06280874486379,0.943569075773226,-13.785,0
"vCTB","EVT-progenitor",12,-1.08363530436147,0.825717692518634,-6.4175,0
"STB","EVT",8,-1.10125009278167,0.914253063516171,-4.4075,0
"STB","Erythroblasts",12,-1.12130128853657,0.770683125367858,-5.68,0
"EVT3","Endothelial",8,-1.31461470692282,0.353294334887715,-1.98,0
