"dataset","celltype_use","n_weeks","rho","p_value","p_adj","trend_sig","metric"
"Multiome","vCTB3",6,-0.151794185179729,0.774057503165657,0.946070281646914,"NS","MMP2_mean"
"Multiome","vCTBp",6,-0.371428571428571,0.468478134110787,0.911058823529412,"NS","MMP2_mean"
"STARmap","EVT2",2,NA,NA,NA,"NS","MMP2_mean"
"STARmap","EVT3",2,NA,NA,NA,"NS","MMP2_mean"
"STARmap","Endothelial_cells",2,NA,NA,NA,"NS","MMP2_mean"
"STARmap","Fibroblast1",2,NA,NA,NA,"NS","MMP2_mean"
"STARmap","Fibroblast2",2,NA,NA,NA,"NS","MMP2_mean"
"STARmap","Hofbauer cells",2,NA,NA,NA,"NS","MMP2_mean"
"STARmap","STB",2,NA,NA,NA,"NS","MMP2_mean"
"STARmap","maternal macrophages",2,NA,NA,NA,"NS","MMP2_mean"
"STARmap","unknown2",2,NA,NA,NA,"NS","MMP2_mean"
"STARmap","unknown3",2,NA,NA,NA,"NS","MMP2_mean"
"STARmap","vCTB2",2,NA,NA,NA,"NS","MMP2_mean"
"STARmap","vCTBp",2,NA,NA,NA,"NS","MMP2_mean"
"Slide-tags","EVT",2,NA,NA,NA,"NS","MMP2_mean"
"Slide-tags","EVT-progenitor",3,-1,0,0,"FDR<0.05","MMP2_mean"
"Slide-tags","EVT3",2,NA,NA,NA,"NS","MMP2_mean"
"Slide-tags","Endothelial",3,NA,NA,NA,"NS","MMP2_mean"
"Slide-tags","Erythroblasts",3,0.866025403784439,0.333333333333333,0.911058823529412,"NS","MMP2_mean"
"Slide-tags","FIB1",3,1,0,0,"FDR<0.05","MMP2_mean"
"Slide-tags","FIB2",3,0.5,0.666666666666667,0.911058823529412,"NS","MMP2_mean"
"Slide-tags","Hofbauer cells",3,-0.5,0.666666666666667,0.911058823529412,"NS","MMP2_mean"
"Slide-tags","STB",3,-0.5,0.666666666666667,0.911058823529412,"NS","MMP2_mean"
"Slide-tags","STB-progenitor",3,NA,NA,NA,"NS","MMP2_mean"
"Slide-tags","vCTB",3,-1,0,0,"FDR<0.05","MMP2_mean"
"Slide-tags","vCTB1",1,NA,NA,NA,"NS","MMP2_mean"
"Slide-tags","vCTB2",1,NA,NA,NA,"NS","MMP2_mean"
"Slide-tags","vCTBp",1,NA,NA,NA,"NS","MMP2_mean"
"Multiome","EVT1",6,0.0338061701891407,0.949310062527826,0.949310062527826,"NS","MMP9_mean"
"Multiome","EVT2",6,-0.11595420713049,0.826848213385815,0.949310062527826,"NS","MMP9_mean"
"Multiome","EVT3",6,0.0338061701891407,0.949310062527826,0.949310062527826,"NS","MMP9_mean"
"Multiome","Endothelial_cells",6,0.130930734141595,0.804726162223106,0.949310062527826,"NS","MMP9_mean"
"Multiome","Fibroblast1",6,0.130930734141595,0.804726162223106,0.949310062527826,"NS","MMP9_mean"
"Multiome","Fibroblast2",6,-0.151794185179729,0.774057503165657,0.949310062527826,"NS","MMP9_mean"
"Multiome","Hofbauer cells",6,0.0857142857142857,0.871743440233236,0.949310062527826,"NS","MMP9_mean"
"Multiome","Maternal fibroblast",6,NA,NA,NA,"NS","MMP9_mean"
"Multiome","STB",6,0.0338061701891407,0.949310062527826,0.949310062527826,"NS","MMP9_mean"
"Multiome","maternal macrophages",6,-0.0857142857142857,0.871743440233237,0.949310062527826,"NS","MMP9_mean"
"Multiome","myeloid_unknown",2,NA,NA,NA,"NS","MMP9_mean"
"Multiome","unknown1",1,NA,NA,NA,"NS","MMP9_mean"
"Multiome","unknown2",6,0.0338061701891407,0.949310062527826,0.949310062527826,"NS","MMP9_mean"
"Multiome","vCTB1",4,NA,NA,NA,"NS","MMP9_mean"
"Multiome","vCTB2",6,0.314285714285714,0.544093294460641,0.949310062527826,"NS","MMP9_mean"
"Multiome","vCTB3",6,NA,NA,NA,"NS","MMP9_mean"
"Multiome","vCTBp",6,0.657142857142857,0.156174927113702,0.949310062527826,"NS","MMP9_mean"
"STARmap","EVT2",2,NA,NA,NA,"NS","MMP9_mean"
"STARmap","EVT3",2,NA,NA,NA,"NS","MMP9_mean"
"STARmap","Endothelial_cells",2,NA,NA,NA,"NS","MMP9_mean"
"STARmap","Fibroblast1",2,NA,NA,NA,"NS","MMP9_mean"
"STARmap","Fibroblast2",2,NA,NA,NA,"NS","MMP9_mean"
"STARmap","Hofbauer cells",2,NA,NA,NA,"NS","MMP9_mean"
"STARmap","STB",2,NA,NA,NA,"NS","MMP9_mean"
"STARmap","maternal macrophages",2,NA,NA,NA,"NS","MMP9_mean"
"STARmap","unknown2",2,NA,NA,NA,"NS","MMP9_mean"
"STARmap","unknown3",2,NA,NA,NA,"NS","MMP9_mean"
"STARmap","vCTB2",2,NA,NA,NA,"NS","MMP9_mean"
"STARmap","vCTBp",2,NA,NA,NA,"NS","MMP9_mean"
"Multiome","EVT1",6,0.485714285714286,0.328723032069971,0.666666666666667,"NS","HLA.G_mean"
"Multiome","EVT2",6,0.542857142857143,0.265702623906705,0.666666666666667,"NS","HLA.G_mean"
"Multiome","EVT3",6,0.371428571428571,0.468478134110787,0.736179925031237,"NS","HLA.G_mean"
"Multiome","Endothelial_cells",6,0.428571428571429,0.396501457725947,0.671002466920834,"NS","HLA.G_mean"
"Multiome","Fibroblast1",6,-0.0857142857142857,0.871743440233237,0.871743440233237,"NS","HLA.G_mean"
"Multiome","Fibroblast2",6,-0.142857142857143,0.787172011661808,0.871743440233237,"NS","HLA.G_mean"
"Multiome","Hofbauer cells",6,0.942857142857143,0.00480466472303207,0.0528513119533527,"NS","HLA.G_mean"
"Multiome","Maternal fibroblast",6,0.130930734141595,0.804726162223106,0.871743440233237,"NS","HLA.G_mean"
"Multiome","STB",6,0.428571428571429,0.396501457725947,0.671002466920834,"NS","HLA.G_mean"
"Multiome","maternal macrophages",6,0.0857142857142857,0.871743440233236,0.871743440233237,"NS","HLA.G_mean"
"Multiome","myeloid_unknown",2,NA,NA,NA,"NS","HLA.G_mean"
"Multiome","unknown1",1,NA,NA,NA,"NS","HLA.G_mean"
"Multiome","unknown2",6,-0.257142857142857,0.622787172011662,0.871743440233237,"NS","HLA.G_mean"
"Multiome","vCTB1",4,-0.2,0.8,0.871743440233237,"NS","HLA.G_mean"
"Multiome","vCTB2",6,-0.485714285714286,0.328723032069971,0.666666666666667,"NS","HLA.G_mean"
"Multiome","vCTB3",6,-0.151794185179729,0.774057503165657,0.871743440233237,"NS","HLA.G_mean"
"Multiome","vCTBp",6,0.485714285714286,0.328723032069971,0.666666666666667,"NS","HLA.G_mean"
"STARmap","EVT2",2,NA,NA,NA,"NS","HLA.G_mean"
"STARmap","EVT3",2,NA,NA,NA,"NS","HLA.G_mean"
"STARmap","Endothelial_cells",2,NA,NA,NA,"NS","HLA.G_mean"
"STARmap","Fibroblast1",2,NA,NA,NA,"NS","HLA.G_mean"
"STARmap","Fibroblast2",2,NA,NA,NA,"NS","HLA.G_mean"
"STARmap","Hofbauer cells",2,NA,NA,NA,"NS","HLA.G_mean"
"STARmap","STB",2,NA,NA,NA,"NS","HLA.G_mean"
"STARmap","maternal macrophages",2,NA,NA,NA,"NS","HLA.G_mean"
"STARmap","unknown2",2,NA,NA,NA,"NS","HLA.G_mean"
"STARmap","unknown3",2,NA,NA,NA,"NS","HLA.G_mean"
"STARmap","vCTB2",2,NA,NA,NA,"NS","HLA.G_mean"
"STARmap","vCTBp",2,NA,NA,NA,"NS","HLA.G_mean"
"Slide-tags","EVT",2,NA,NA,NA,"NS","HLA.G_mean"
"Slide-tags","EVT-progenitor",3,-0.5,0.666666666666667,0.871743440233237,"NS","HLA.G_mean"
"Slide-tags","EVT3",2,NA,NA,NA,"NS","HLA.G_mean"
"Slide-tags","Endothelial",3,-0.866025403784439,0.333333333333333,0.666666666666667,"NS","HLA.G_mean"
"Slide-tags","Erythroblasts",3,NA,NA,NA,"NS","HLA.G_mean"
"Slide-tags","FIB1",3,-0.866025403784439,0.333333333333333,0.666666666666667,"NS","HLA.G_mean"
"Slide-tags","FIB2",3,-0.866025403784439,0.333333333333333,0.666666666666667,"NS","HLA.G_mean"
"Slide-tags","Hofbauer cells",3,-0.866025403784439,0.333333333333333,0.666666666666667,"NS","HLA.G_mean"
"Slide-tags","STB",3,-0.866025403784439,0.333333333333333,0.666666666666667,"NS","HLA.G_mean"
"Slide-tags","STB-progenitor",3,NA,NA,NA,"NS","HLA.G_mean"
"Slide-tags","vCTB",3,-1,0,0,"FDR<0.05","HLA.G_mean"
"Slide-tags","vCTB1",1,NA,NA,NA,"NS","HLA.G_mean"
"Slide-tags","vCTB2",1,NA,NA,NA,"NS","HLA.G_mean"
"Slide-tags","vCTBp",1,NA,NA,NA,"NS","HLA.G_mean"
"Multiome","EVT1",6,NA,NA,NA,"NS","NKG7_mean"
"Multiome","EVT2",6,0.130930734141595,0.804726162223106,0.804726162223106,"NS","NKG7_mean"
"Multiome","EVT3",6,NA,NA,NA,"NS","NKG7_mean"
"Multiome","Endothelial_cells",6,NA,NA,NA,"NS","NKG7_mean"
"Multiome","Fibroblast1",6,NA,NA,NA,"NS","NKG7_mean"
"Multiome","Fibroblast2",6,-0.135224680756563,0.798399318803502,0.804726162223106,"NS","NKG7_mean"
"Multiome","Hofbauer cells",6,NA,NA,NA,"NS","NKG7_mean"
"Multiome","Maternal fibroblast",6,NA,NA,NA,"NS","NKG7_mean"
"Multiome","STB",6,NA,NA,NA,"NS","NKG7_mean"
"Multiome","maternal macrophages",6,-0.151794185179729,0.774057503165657,0.804726162223106,"NS","NKG7_mean"
"Multiome","myeloid_unknown",2,NA,NA,NA,"NS","NKG7_mean"
"Multiome","unknown1",1,NA,NA,NA,"NS","NKG7_mean"
"Multiome","unknown2",6,0.516100229611079,0.294583741462461,0.804726162223106,"NS","NKG7_mean"
"Multiome","vCTB1",4,NA,NA,NA,"NS","NKG7_mean"
"Multiome","vCTB2",6,0.516100229611079,0.294583741462461,0.804726162223106,"NS","NKG7_mean"
"Multiome","vCTB3",6,NA,NA,NA,"NS","NKG7_mean"
"Multiome","vCTBp",6,0.130930734141595,0.804726162223106,0.804726162223106,"NS","NKG7_mean"
"STARmap","EVT2",2,NA,NA,NA,"NS","NKG7_mean"
"STARmap","EVT3",2,NA,NA,NA,"NS","NKG7_mean"
"STARmap","Endothelial_cells",2,NA,NA,NA,"NS","NKG7_mean"
"STARmap","Fibroblast1",2,NA,NA,NA,"NS","NKG7_mean"
"STARmap","Fibroblast2",2,NA,NA,NA,"NS","NKG7_mean"
"STARmap","Hofbauer cells",2,NA,NA,NA,"NS","NKG7_mean"
"STARmap","STB",2,NA,NA,NA,"NS","NKG7_mean"
"STARmap","maternal macrophages",2,NA,NA,NA,"NS","NKG7_mean"
"STARmap","unknown2",2,NA,NA,NA,"NS","NKG7_mean"
"STARmap","unknown3",2,NA,NA,NA,"NS","NKG7_mean"
"STARmap","vCTB2",2,NA,NA,NA,"NS","NKG7_mean"
"STARmap","vCTBp",2,NA,NA,NA,"NS","NKG7_mean"
"Multiome","EVT1",6,0.6,0.208,0.384,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","EVT2",6,0.6,0.208,0.384,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","EVT3",6,0.485714285714286,0.328723032069971,0.493084548104956,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","Endothelial_cells",6,0.542857142857143,0.265702623906705,0.455490212411495,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","Fibroblast1",6,0.6,0.208,0.384,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","Fibroblast2",6,0.0285714285714286,0.957154518950437,0.957154518950437,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","Hofbauer cells",6,0.428571428571429,0.396501457725947,0.559766763848397,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","Maternal fibroblast",6,0.485714285714286,0.328723032069971,0.493084548104956,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","STB",6,0.942857142857143,0.00480466472303207,0.0164731361932528,"FDR<0.05","score_MMP_ECM_Remodeling_mean"
"Multiome","maternal macrophages",6,0.771428571428571,0.0723965014577259,0.173751603498542,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","myeloid_unknown",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","unknown1",1,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","unknown2",6,0.0285714285714286,0.957154518950437,0.957154518950437,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","vCTB1",4,0.4,0.6,0.727272727272727,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","vCTB2",6,0.828571428571429,0.0415626822157434,0.110833819241983,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","vCTB3",6,0.257142857142857,0.622787172011662,0.727272727272727,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","vCTBp",6,0.828571428571429,0.0415626822157434,0.110833819241983,"NS","score_MMP_ECM_Remodeling_mean"
"STARmap","EVT2",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"STARmap","EVT3",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"STARmap","Endothelial_cells",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"STARmap","Fibroblast1",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"STARmap","Fibroblast2",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"STARmap","Hofbauer cells",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"STARmap","STB",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"STARmap","maternal macrophages",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"STARmap","unknown2",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"STARmap","unknown3",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"STARmap","vCTB2",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"STARmap","vCTBp",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"Slide-tags","EVT",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"Slide-tags","EVT-progenitor",3,-0.5,0.666666666666667,0.727272727272727,"NS","score_MMP_ECM_Remodeling_mean"
"Slide-tags","EVT3",2,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"Slide-tags","Endothelial",3,1,0,0,"FDR<0.05","score_MMP_ECM_Remodeling_mean"
"Slide-tags","Erythroblasts",3,1,0,0,"FDR<0.05","score_MMP_ECM_Remodeling_mean"
"Slide-tags","FIB1",3,0.5,0.666666666666667,0.727272727272727,"NS","score_MMP_ECM_Remodeling_mean"
"Slide-tags","FIB2",3,1,0,0,"FDR<0.05","score_MMP_ECM_Remodeling_mean"
"Slide-tags","Hofbauer cells",3,1,0,0,"FDR<0.05","score_MMP_ECM_Remodeling_mean"
"Slide-tags","STB",3,1,0,0,"FDR<0.05","score_MMP_ECM_Remodeling_mean"
"Slide-tags","STB-progenitor",3,1,0,0,"FDR<0.05","score_MMP_ECM_Remodeling_mean"
"Slide-tags","vCTB",3,0.5,0.666666666666667,0.727272727272727,"NS","score_MMP_ECM_Remodeling_mean"
"Slide-tags","vCTB1",1,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"Slide-tags","vCTB2",1,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"Slide-tags","vCTBp",1,NA,NA,NA,"NS","score_MMP_ECM_Remodeling_mean"
"Multiome","EVT1",6,-0.142857142857143,0.787172011661808,0.858733103631063,"NS","score_Immune_Tolerance_mean"
"Multiome","EVT2",6,0.142857142857143,0.787172011661808,0.858733103631063,"NS","score_Immune_Tolerance_mean"
"Multiome","EVT3",6,-0.0857142857142857,0.871743440233237,0.909645328939029,"NS","score_Immune_Tolerance_mean"
"Multiome","Endothelial_cells",6,-0.142857142857143,0.787172011661808,0.858733103631063,"NS","score_Immune_Tolerance_mean"
"Multiome","Fibroblast1",6,0.0285714285714286,0.957154518950437,0.957154518950437,"NS","score_Immune_Tolerance_mean"
"Multiome","Fibroblast2",6,-0.257142857142857,0.622787172011662,0.842105263157895,"NS","score_Immune_Tolerance_mean"
"Multiome","Hofbauer cells",6,-0.6,0.208,0.623999999999999,"NS","score_Immune_Tolerance_mean"
"Multiome","Maternal fibroblast",6,0.885714285714286,0.0188454810495627,0.113072886297376,"NS","score_Immune_Tolerance_mean"
"Multiome","STB",6,0.828571428571429,0.0415626822157434,0.166250728862974,"NS","score_Immune_Tolerance_mean"
"Multiome","maternal macrophages",6,0.485714285714286,0.328723032069971,0.842105263157895,"NS","score_Immune_Tolerance_mean"
"Multiome","myeloid_unknown",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"Multiome","unknown1",1,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"Multiome","unknown2",6,-0.371428571428571,0.468478134110787,0.842105263157895,"NS","score_Immune_Tolerance_mean"
"Multiome","vCTB1",4,0.4,0.6,0.842105263157895,"NS","score_Immune_Tolerance_mean"
"Multiome","vCTB2",6,0.828571428571429,0.0415626822157434,0.166250728862974,"NS","score_Immune_Tolerance_mean"
"Multiome","vCTB3",6,0.942857142857143,0.00480466472303207,0.0384373177842565,"FDR<0.05","score_Immune_Tolerance_mean"
"Multiome","vCTBp",6,0.657142857142857,0.156174927113702,0.535456892961266,"NS","score_Immune_Tolerance_mean"
"STARmap","EVT2",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"STARmap","EVT3",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"STARmap","Endothelial_cells",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"STARmap","Fibroblast1",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"STARmap","Fibroblast2",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"STARmap","Hofbauer cells",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"STARmap","STB",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"STARmap","maternal macrophages",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"STARmap","unknown2",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"STARmap","unknown3",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"STARmap","vCTB2",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"STARmap","vCTBp",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"Slide-tags","EVT",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"Slide-tags","EVT-progenitor",3,-0.5,0.666666666666667,0.842105263157895,"NS","score_Immune_Tolerance_mean"
"Slide-tags","EVT3",2,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"Slide-tags","Endothelial",3,0.5,0.666666666666667,0.842105263157895,"NS","score_Immune_Tolerance_mean"
"Slide-tags","Erythroblasts",3,-0.5,0.666666666666667,0.842105263157895,"NS","score_Immune_Tolerance_mean"
"Slide-tags","FIB1",3,-0.5,0.666666666666667,0.842105263157895,"NS","score_Immune_Tolerance_mean"
"Slide-tags","FIB2",3,0.5,0.666666666666667,0.842105263157895,"NS","score_Immune_Tolerance_mean"
"Slide-tags","Hofbauer cells",3,1,0,0,"FDR<0.05","score_Immune_Tolerance_mean"
"Slide-tags","STB",3,0.5,0.666666666666667,0.842105263157895,"NS","score_Immune_Tolerance_mean"
"Slide-tags","STB-progenitor",3,1,0,0,"FDR<0.05","score_Immune_Tolerance_mean"
"Slide-tags","vCTB",3,0.5,0.666666666666667,0.842105263157895,"NS","score_Immune_Tolerance_mean"
"Slide-tags","vCTB1",1,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"Slide-tags","vCTB2",1,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"Slide-tags","vCTBp",1,NA,NA,NA,"NS","score_Immune_Tolerance_mean"
"Multiome","EVT1",6,0.314285714285714,0.544093294460641,0.680116618075802,"NS","score_Cytotoxic_NK_mean"
"Multiome","EVT2",6,0.142857142857143,0.787172011661808,0.787172011661808,"NS","score_Cytotoxic_NK_mean"
"Multiome","EVT3",6,0.828571428571429,0.0415626822157434,0.311720116618076,"NS","score_Cytotoxic_NK_mean"
"Multiome","Endothelial_cells",6,0.771428571428571,0.0723965014577259,0.36198250728863,"NS","score_Cytotoxic_NK_mean"
"Multiome","Fibroblast1",6,0.485714285714286,0.328723032069971,0.547871720116618,"NS","score_Cytotoxic_NK_mean"
"Multiome","Fibroblast2",6,0.542857142857143,0.265702623906705,0.547871720116618,"NS","score_Cytotoxic_NK_mean"
"Multiome","Hofbauer cells",6,-0.142857142857143,0.787172011661808,0.787172011661808,"NS","score_Cytotoxic_NK_mean"
"Multiome","Maternal fibroblast",6,0.828571428571429,0.0415626822157434,0.311720116618076,"NS","score_Cytotoxic_NK_mean"
"Multiome","STB",6,0.6,0.208,0.547871720116618,"NS","score_Cytotoxic_NK_mean"
"Multiome","maternal macrophages",6,-0.314285714285714,0.544093294460641,0.680116618075802,"NS","score_Cytotoxic_NK_mean"
"Multiome","myeloid_unknown",2,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
"Multiome","unknown1",1,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
"Multiome","unknown2",6,0.657142857142857,0.156174927113702,0.547871720116618,"NS","score_Cytotoxic_NK_mean"
"Multiome","vCTB1",4,0.6,0.4,0.6,"NS","score_Cytotoxic_NK_mean"
"Multiome","vCTB2",6,0.485714285714286,0.328723032069971,0.547871720116618,"NS","score_Cytotoxic_NK_mean"
"Multiome","vCTB3",6,-0.2,0.704,0.787172011661808,"NS","score_Cytotoxic_NK_mean"
"Multiome","vCTBp",6,0.485714285714286,0.328723032069971,0.547871720116618,"NS","score_Cytotoxic_NK_mean"
"STARmap","EVT2",2,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
"STARmap","EVT3",2,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
"STARmap","Endothelial_cells",2,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
"STARmap","Fibroblast1",2,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
"STARmap","Fibroblast2",2,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
"STARmap","Hofbauer cells",2,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
"STARmap","STB",2,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
"STARmap","maternal macrophages",2,NA,NA,NA,"NS","score_Cytotoxic_NK_mean"
